[04/Dec/2017 06:53:21] "GET / HTTP/1.1" 200 4882
[05/Dec/2017 01:56:00] "GET / HTTP/1.1" 200 4882
[05/Dec/2017 01:56:00] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[05/Dec/2017 01:56:00] "GET /static/css/style-metro.css HTTP/1.1" 304 0
[05/Dec/2017 01:56:00] "GET /static/css/style.css HTTP/1.1" 304 0
[05/Dec/2017 01:56:52] "GET / HTTP/1.1" 200 4882
[05/Dec/2017 02:36:21] "GET / HTTP/1.1" 200 4882
[05/Dec/2017 02:36:22] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[05/Dec/2017 02:36:22] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 103183
[05/Dec/2017 02:36:22] "GET /static/css/style.css HTTP/1.1" 200 96001
[05/Dec/2017 02:36:49] "GET / HTTP/1.1" 200 4882
[05/Dec/2017 03:00:24] "GET / HTTP/1.1" 200 4882
[05/Dec/2017 03:00:24] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[05/Dec/2017 03:00:24] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 103183
[05/Dec/2017 03:00:24] "GET /static/css/style.css HTTP/1.1" 200 96001
[05/Dec/2017 06:38:28] "GET / HTTP/1.1" 200 4882
[05/Dec/2017 06:38:28] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[05/Dec/2017 06:38:28] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 103183
[05/Dec/2017 06:38:28] "GET /static/css/style.css HTTP/1.1" 200 96001
[06/Dec/2017 03:06:00] "GET / HTTP/1.1" 200 4882
[06/Dec/2017 03:06:00] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[06/Dec/2017 03:06:00] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 103183
[06/Dec/2017 03:06:00] "GET /static/css/style.css HTTP/1.1" 200 96001
[06/Dec/2017 03:07:23] "GET / HTTP/1.1" 200 4882
[06/Dec/2017 03:25:40] "GET / HTTP/1.1" 200 4882
[06/Dec/2017 03:25:40] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[06/Dec/2017 03:25:40] "GET /static/css/style.css HTTP/1.1" 200 96001
[06/Dec/2017 03:25:40] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 103183
[06/Dec/2017 04:14:57] "GET / HTTP/1.1" 200 4882
[06/Dec/2017 04:14:57] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 103183
[06/Dec/2017 04:14:57] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[06/Dec/2017 04:14:57] "GET /static/css/style.css HTTP/1.1" 200 96001
[06/Dec/2017 04:15:22] "GET / HTTP/1.1" 200 4882
[06/Dec/2017 07:12:12] "GET / HTTP/1.1" 200 4882
[06/Dec/2017 07:12:12] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[06/Dec/2017 07:12:12] "GET /static/css/style.css HTTP/1.1" 200 96001
[06/Dec/2017 07:12:12] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 103183
[11/Dec/2017 04:16:22] "GET / HTTP/1.1" 200 4882
[11/Dec/2017 04:16:22] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[11/Dec/2017 04:16:22] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 103183
[11/Dec/2017 04:16:22] "GET /static/css/style.css HTTP/1.1" 200 96001
[11/Dec/2017 06:13:00] "GET / HTTP/1.1" 200 4882
[11/Dec/2017 06:13:01] "GET /static/css/style-metro.css HTTP/1.1" 200 11213
[11/Dec/2017 06:13:01] "GET /static/css/style.css HTTP/1.1" 200 96001
